"Japanese"	"Furigana"	"Romaji"	"English"
"局所変数"	"きょくしょへんすう"	"kyokusho hensuu"	"Local Variable"
"グローバル変数"	"グローバルへんすう"	"guroobaru hensuu"	"Global Variable"
"変数名"	"へんすうめい"	"hensuumei"	"Variable Name"
"定義済定数"	"ていぎずみていすう"	"teizumi teisuu"	"Predefined Constant"
"定数"	"ていすう"	"teisuu"	"Constant"
"定数名"	"ていすうめい"	"teisuumei"	"Constant Name"
"代入"	"だいにゅう"	"dainyuu"	"Assignment"
"割り当てる"	"わりあてる"	"wariateru"	"To assign"
"定義"	"ていぎ"	"teigi"	"Definition"
"グローバルスコープ"	"グローバルスコープ"	"guroobaru sukoopu"	"Global Scope"
"ローカルスコープ"	"ローカルスコープ"	"rookaru sukoopu"	"Local Scope"
"スーパーグローバル"	"スーパーグローバル"	"suupaa guroobaru"	"Super Global"
"式"	"しき"	"shiki"	"Expression"
"ホゲ"	"ホゲ"	"hoge"	"foobar"
"演算"	"えんざん"	"enzan"	"Operation"
"演算子"	"えんざんし"	"enzanshi"	"Operator"
"演算数"	"えんざんすう"	"enzansuu"	"Operand"
"演算子の優先順位"	"えんざんしのゆうせんじゅんい"	"enzanshi no yuusen jun i"	"Operator Order of Precedence"
"浮動小数点演算"	"ふどうしょうすうてんえんざん"	"fudoo shoosuuten enzan"	"Floating Point Operation"
"代数演算子"	"だいすうえんざんし"	"daisuu enzanshi"	"Algebraic Operator"
"否定 （負にする）"	"ひてい （ふにする）"	"hitei (fu ni suru)"	"Negation"
"加算"	"かさん"	"kasan"	"Addition (+ is the 加算演算子)"
"減算"	"げんざん"	"genzan"	"Subtraction (- is the 減算演算子)"
"乗算"	"じょうざん"	"joozan"	"Multiplication (* is the 乗算演算子)"
"除算"	"じょざん"	"jozan"	"Division (/ is the 除算演算子)"
"剰余"	"じょうよ"	"jooyo"	"Remainder (% is the 剰余演算子)"
"マイナス"	"マイナス"	"mainasu"	"Minus"
"足す"	"たす"	"tasu"	"To add"
"引く"	"ひく"	"hiku"	"To subtract"
"掛ける"	"かける"	"kakeru"	"To multiply"
"割る"	"わる"	"waru"	"To divide"
"余り"	"あまり"	"amari"	"Remainder"
"モッド"	"モッド"	"moddo"	"Mod (モジュロ or モデューロ for Modulo)"
"単項マイナス演算子"	"たんこうマイナスえんざんし"	"tankoo mainasu enzanshi"	"Unary Minus Operator"
"単項プラス演算子"	"たんこうプラスえんざんし"	"tankoo purasu enzanshi"	"Unary Plus Operator"
"被除数"	"ひじょすう"	"hijosuu"	"Dividend"
"単項"	"たんこう"	"tankoo"	"Unary"
"符号"	"ふごう"	"fugoo"	"Sign/Mark/Symbol"
"代入演算子"	"だいにゅうえんざんし"	"dainyuu enzanshi"	"Assignment Operator"
"代入"	"だいにゅう"	"dainyuu"	"Assignment"
"間接参照"	"かんせつさんしょう"	"kansetsu sanshoo"	"Indirect reference"
"参照"	"さんしょう"	"sanshoo"	"Reference"
"参照先"	"さんしょうさき"	"sanshoosaki"	"Referent"
"メモリアドレス"	"メモリアドレス"	"memori adoresu"	"Memory address"
"ポインタ"	"ポインタ"	"pointa"	"Pointer"
"スコープ定義演算子"	"スコープていぎえんざんし"	"sukoopu teigi enzanshi"	"Scope Resolution Operator"
"ビット演算子"	"ビットえんざんし"	"bitto enzanshi"	"Bitwise Operator"
"ビット積"	"ビットせき"	"bitto seki"	"And (&, literally Bit Product)"
"ビット和"	"ビットなぎ"	"bitto nagi"	"Or (|, literally Bit Sum)"
"排他的論理和"	"はいたてきろんりわ"	"haitateki ronriwa"	"XOR (^)"
"否定"	"ひてい"	"hitei"	"Negation (~)"
"左シフト"	"ひだりシフト"	"hidari shifuto"	"Left Shift (<<)"
"右シフト"	"みぎシフト"	"migi shifuto"	"Right Shift (>>)"
"比較演算子"	"ひかくえんざんし"	"hikaku enzanshi"	"Relational/Comparison Operator"
"同等"	"どうとう"	"dootoo"	"Equal (==, also 等しい)"
"同一"	"どういつ"	"dooitsu"	"Identical (===)"
"等しくない"	"ひとしくない"	"hitoshikunai"	"Not Equal (<> or !=)"
"大なり （より大きい）"	"だいなり"	"dainari"	"Greater than (>)"
"小なり （より小さい）"	"しょうなり"	"shoonari"	"Less than (<)"
"以上 (より大きいか等しい)"	"いじょう"	"ijoo"	"Greater than or equal to"
"以下 (より小さいか等しい)"	"いか、いげ"	"ika, ige"	"Less than or equal to"
"加算子"	"かさんし"	"kasanshi"	"Increment Operator (++)"
"減算子"	"げんざんし"	"genzanshi"	"Decrement Operator (--)"
"前置加算子"	"ぜんちかさんし"	"zenchi kasanshi"	"Pre-Increment Operator"
"後置加算子"	"こうちかさんし"	"koochi kasanshi"	"Post-Increment Operator"
"前置減算子"	"ぜんちげんざんし"	"zenchi genzanshi"	"Pre-Decrement Operator"
"後置減算子"	"こうちげんざんし"	"kouchi genzanshi"	"Post-Decrement Operator"
"前置加算"	"ぜんちかさん"	"zenchi kasan"	"Pre-Increment"
"後置加算"	"こうちかさん"	"kouchi kasan"	"Post-Increment"
"前置減算"	"ぜんちげんざん"	"zenchi genzan"	"Pre-Decrement"
"後置減算"	"こうちげんざん"	"koochi genzan"	"Post-Decrement"
"論理演算子"	"ろんりえんざんし"	"ronri enzanshi"	"Logical Operator"
"論理積"	"ろんりせき"	"ronriseki"	"And (&& or and, literally Logical Product)"
"論理和"	"ろんりわ"	"ronriwa"	"Or (|| or or, literally Logical Sum)"
"排他的論理和"	"はいたてきろんりわ"	"haitateki ronriwa"	"XOR"
"否定"	"ひてい"	"hitei"	"Not (!)"
"文字列演算子"	"もじれつえんざんし"	"mojiretsu enzanshi"	"String Operator"
"結合演算子"	"けつごうえんざんし"	"ketsugoo enzanshi"	"Concatenation Operator"
"結合代入演算子"	"けつごうだいにゅうえんざんし"	"ketsugoo dainyuu enzanshi"	"Concatenating Assignment Operator"
"配列演算子"	"はいれつえんざんし"	"hairetsu enzanshi"	"Array Operator"
"結合"	"けつごう"	"ketsugoo"	"Union"
"同一でない"	"どういつでない"	"dooitsudenai"	"Not Identical (!==)"
"制御構造"	"せいぎょこうぞう"	"seigyo koozoo"	"Control Structure"
"制御式"	"せいぎょしき"	"seigyo shiki"	"Control Expression"
"実行文"	"じっこうぶん"	"jikkoobun"	"Executable Statement"
"条件文"	"じょうけんぶん"	"jookenbun"	"Conditional Statement"
"条件式"	"じょうけんしき"	"jookenshiki"	"Conditional Expression"
"無条件"	"むじょうけん"	"mujooken"	"Unconditional"
"真文"	"しんぶん、まぶん"	"shinbun, mabun"	"True Statement"
"真式文"	"しんしきぶん"	"shin shikibun"	"True Expression Statement"
"偽文"	"にせぶん"	"nisebun"	"False Statement"
"偽式文"	"にせしきぶん"	"nise shikibun"	"False Expression Statement"
"イフ文"	"イフぶん"	"ifubun"	"If Statement"
"エルス文"	"エルスぶん"	"erusubun"	"Else Statement"
"イフエルス文"	"イフエルスぶん"	"ifu erusu bun"	"If Else Statement"
"三項演算子"	"さんこうえんざんし"	"sankoo enzanshi"	"Ternary Operator"
"スイッチ文"	"スイッチぶん"	"suitchibun"	"Switch Statement"
"ケース文"	"ケースぶん"	"keesubun"	"Case Statement"
"ループ"	"ループ"	"ruupu"	"Loop"
"カウント制御ループ"	"カウントせいぎょループ"	"kaunto seigyo ruupu"	"Count Controlled Loop"
"フォー文"	"フォーぶん"	"foobun"	"For Statement (For Loop)"
"フォーイーチ文"	"フォーイーチぶん"	"fooiichibun"	"For Each Statement (For Each Loop)"
"条件制御ループ"	"じょうけんせいぎょループ"	"jooken seigyo ruupu"	"Condition Controlled Loop"
"ワイル文"	"ワイルぶん"	"wairubun"	"While Statement (While Loop)"
"ドゥ ワイル文"	"ドゥ ワイルぶん"	"du wairu bun"	"Do While Statement (Do While Loop)"
"コントロールブレイク"	"コントロールブレイク"	"kontoroorubureiku"	"Control Break"
"コンティニュー文"	"コンティニューぶん"	"kontinyuubun"	"Continue Statement"
"ブレイク文"	"ブレイクぶん"	"bureikubun"	"Break Statement"
"コレクション制御ループ"	"コレクションせいぎょループ"	"korekushon seigyo ruupu"	"Collection Controlled Loop"
"イテレータ"	"イテレータ"	"itereeta"	"Iterator"
"繰り返し"	"くりかえし"	"kurikaeshi"	"Iteration"
"無限ループ"	"むげんループ"	"mugenruupu"	"Infinite Loop"
"ループからの早期脱出"	"ループからのそうきだっしゅつ"	"ruupu kara no sooki dasshutsu"	"Early Exit (Escape) from Loop"
"ゴートゥ文"	"ゴートゥぶん"	"gootubun"	"Go To Statement"
"ラベル"	"ラベル"	"raberu"	"Label"
"関数"	"かんすう"	"kansuu"	"Function (You may see サブルーチン in some languages)"
"再帰関数"	"さいきかんすう"	"saiki kansuu"	"Recursive Function"
"無名関数"	"むめいかんすう"	"mumei kansuu"	"Anonymous Function/Closure/Lambda"
"コールバック"	"コールバック"	"kooru bakku"	"Callback"
"可変関数"	"かへんかんすう"	"kahen kansuu"	"Variable Function"
"内部関数"	"ないぶかんすう"	"naibu kansuu"	"Internal Function"
"末尾再帰"	"まつびさいき"	"matsubi saiki"	"Tail Recursion"
"プロシージャ"	"プロシージャ"	"puroshiija"	"Procedure"
"関数名"	"かんすうめい"	"kansuumei"	"Function Name"
"ユーザー定義関数"	"ユーザーていぎかんすう"	"yuuzaa teigi kansuu"	"User Defined Function"
"定義済み関数"	"ていぎずみかんすう"	"teigizumi kansuu"	"Predefined Function"
"スコープ"	"スコープ"	"sukoopu"	"Scope (May also be 範囲)"
"プロトタイプ"	"プロトタイプ"	"purototaipu"	"Prototype"
"プロトタイプ宣言"	"プロトタイプせんげん"	"purototaipu sengen"	"Prototype Declaration"
"関数プロトタイプ"	"かんすうプロトタイプ"	"kansuu purototaipu"	"Function Prototype"
"関数実行時"	"かんすうじっこうじ"	"kansuu jikkooji"	"Function Execution Time"
"引数"	"ひきすう"	"hikisuu"	"Argument/Parameter"
"オプション引数"	"オプションひきすう"	"opushon hikisuu"	"Optional Argument/Parameter"
"デフォルト引数"	"デフォルトひきすう"	"deforuto hikisuu"	"Default Argument/Parameter"
"名前付き引数"	"なまえつきひきすう"	"namaetsuki hikisuu"	"Named Argument/Parameter"
"位置指定引数"	"いちしていひきすう"	"ichishitei hikisuu"	"Positional Argument/Parameter"
"可変長引数"	"かへんちょうひきすう"	"kahenchoo hikisuu"	"Variable Length Arguments"
"可変長引数の関数"	"かへんちょうひきすうのかんすう"	"kahenchoo hikisuu no kansuu"	"Variable Length Arguments Function"
"リターン文"	"リターンぶん"	"ritaanbun"	"Return Statement"
"返却値"	"へんきゃくち"	"henkyakuchi"	"Return Value (Also 返り値 or 戻り値)"
"返す"	"かえす"	"kaesu"	"To return"
"関数呼び出し"	"かんすうよびだし"	"kansuu yobidasu"	"Function Call"
"呼び出し"	"よびだし"	"yobidashi"	"A Call (to a function etc)"
"呼び出す"	"よびだす"	"yobidasu"	"To Call (a function etc)"
"渡す"	"わたす"	"watasu"	"To Pass (an argument etc)"
"参照渡し"	"さんしょうわたし"	"sanshoo watashi"	"Pass By Reference"
"値渡し"	"ねわたし"	"newatashi"	"Pass By Value"
"クラス"	"クラス"	"kurasu"	"Class"
"クラスの定義"	"クラスのていぎ"	"kurasu no teigi"	"Class Definition"
"親クラス"	"おやクラス"	"oyakurasu"	"Parent Class"
"子クラス"	"こクラス"	"kokurasu"	"Child Class"
"クラス継承"	"クラスけいしょう"	"kurasu keishoo"	"Class Inheritance"
"インターフェイス"	"インターフェイス"	"intaafeisu"	"Interface"
"オブジェクト"	"オブジェクト"	"obujekuto"	"Object"
"クラス定数"	"クラスていすう"	"kurasu teisuu"	"Class Constant"
"メンバー関数"	"メンバーかんすう"	"membaa kansuu"	"Member Function"
"メンバー変数"	"メンバーへんすう"	"membaa hensuu"	"Member Variable"
"アクセス権"	"アクセスけん"	"akusesugen"	"Visibility (Literally, Access Rights)"
"スコープ定義演算子"	"スコープていぎえんさんし"	"sukoopu teigi enzanshi"	"Scope Resolution Operator (::)"
"継承"	"けいしょう"	"keishoo"	"Inheritance"
"オブジェクトの継承"	"オブジェクトのけいしょう"	"obujekuto no keishoo"	"Object Inheritance"
"クラスの抽象化"	"クラスのちゅうしょうか"	"kurasu no chuushooka"	"Class Abstraction"
"トレイト"	"トレイト"	"toreito"	"Trait"
"インスタンス化"	"インスタンスか"	"insutansuka"	"Instantiation"
"初期化"	"しょきか"	"shikika"	"Initialisation"
"タイプヒンティング"	"タイプヒンティング"	"taipu hintingu"	"Type Hinting"
"遅延静的束縛"	"ちえんせいてきそくばく"	"chienseiteki sokubaku"	"Late Static Bindings"
"オブジェクトのシリアライズ"	"オブジェクトのシリアライズ"	"obujekuto no shiriaraizu"	"Object Serialisation"
"オブジェクトの反復処理"	"オブジェクトのはんぷくしょり"	"obujekuto no hanpuku shori"	"Object Iteration"
"オブジェクトのクローン作成"	"オブジェクトのクローンさくせい"	"obujekuto no kuroon sakusei"	"Object Cloning"
"オブジェクトの比較"	"オブジェクトのひかく"	"obujekuto no hikaku"	"Object Comparison"
"マジックメソッド"	"マジックメソッド"	"majikku mesoddo"	"Magic Method"
"オーバーロード"	"オーバーロード"	"oobaaroodo"	"Overloading"
"オーバーライド"	"オーバーライド"	"oobaaraido"	"Override"
"コンストラクタ"	"コンストラクタ"	"konsutorakuta"	"Constructor"
"デストラクタ"	"デストラクタ"	"desutorakuta"	"Destructor"
"クラスのオートローディング"	"クラスのオートローディング"	"kurasu no ooto roodingu"	"Class Auto-loading"
"クラスの拡張"	"クラスのかくちょう"	"kurasu no kakuchoo"	"Class Extension"
"名前空間"	"なまえくうかん"	"namaekuukan"	"Namespace"
"名前の衝突"	"なまえのしょうとつ"	"namae no shoototsu"	"Name Collision"
"名前空間の定義"	"なまえくうかんのていき"	"namae kuukan no teigi"	"Namespace definition"
"サブ名前空間"	"サブなまえくうかん"	"sabu namaekuukan"	"Sub-Namespace"
"サブ名前空間の宣言"	"サブなまえくうかんのせんげん"	"sabu namaekuukan no sengen"	"Sub-Namespace Declaration"
"グローバル空間"	"グローバルくうかん"	"guroobaru kuukan"	"Global Space"
"名前解決"	"なまえかいけつ"	"namae kaiketsu"	"Namespace Resolution"
"名前解決のルール"	"なまえかいけつのルール"	"namae kaiketsu no ruuru"	"Namespace Resolution Rules"
"エラー"	"エラー"	"eraa"	"Error"
"エラー報告"	"エラーほうこく"	"eraa hookoku"	"Error Report"
"例外"	"れいがい"	"reigai"	"Exception"
"定義済みの例外"	"ていぎずみのれいがい"	"teigizumi no reigai"	"Predefined Exception"
"トライ・ブロック"	"トライ・ブロック"	"torai burokku"	"Try Block"
"トライ文"	"トライぶん"	"toraibun"	"Try Statement"
"キャッチ・ブロック"	"キャッチ・ブロック"	"kyatchi burokku"	"Catch Block"
"キャッチ文"	"キャッチぶん"	"kyatchibun"	"Catch Statement"
"ファイナリー ブロック"	"ファイナリー ブロック"	"fainarii burokku"	"Finally Block"
"ファイナリー文"	"ファイナリーぶん"	"fainariibun"	"Finally Statement"
"投げる"	"なげる"	"nageru"	"To Throw (an exception)"
"捕捉する"	"ほぞする"	"hozo suru"	"To Catch (an exception)"
"クッキー"	"クッキー"	"kukkii"	"Cookie"
"セッション"	"セッション"	"sesshon"	"Session"
"セッション処理"	"セッションしょり"	"sesshon shori"	"Session Management"
"カスタムセッションハンドラ"	"カスタムセッションハンドラ"	"kasutamu sesshon handora"	"Custom Session Handler"
"クライアント"	"クライアント"	"kuraianto"	"Client"
"サーバー"	"サーバー"	"saabaa"	"Server"
"格納"	"かくのう"	"kakunoo"	"Storage/Putting into Computer Memory"
"メモリ"	"メモリ"	"memori"	"Memory (May also be メモリー)"
"獲得する"	"かくとくする"	"kakutoku suru"	"To Acquire"
"確保する"	"かくほする"	"kakuho suru"	"To Allocate"
"メモリリーク"	"メモリリーク"	"memori riiku"	"Memory Leak (May also be 漏れ)"
"開放する"	"かいほうする"	"kaihoo suru"	"To Release"
"メモリ確保"	"メモリかくほ"	"memori kakuho"	"Memory Allocation"
"動的メモリ確保"	"どうてきメモリかくほ"	"dooteki memori kakuho"	"Dynamic Memory Allocation"
"メモリ領域"	"メモリりょういき"	"memori ryooiki"	"Memory Space"
"動的メモリ管理"	"どうてきメモリかんり"	"dooteki memori kanri"	"Dynamic Memory Management"
"外部メモリ"	"がいぶメモリ"	"gaibu memori"	"External Memory"
"内部メモリ"	"ないぶメモリ"	"naibu memori"	"Internal Memory"
"格納"	"かくのう"	"kakunoo"	"Storage/Putting into Computer Memory"
