"Japanese"	"Furigana"	"English"
"シングルクォート"	"シングルクォート"	"Single Quote"
"ダブルクォート"	"ダブルクォート"	"Double Quote"
"バッククォート"	"バッククォート"	"Backtick/Backquote"
"括弧"	"かっこ"	"Parenthesis → ()"
"波括弧"	"なみかっこ"	"Curly braces"
"角括弧"	"かくかっこ"	"Square brackets"
"コードブロック"	"コードブロック"	"Code Block"
"記述子"	"きじゅつし"	"Descriptor"
"列挙"	"れっきょ"	"Enumeration"
"差分"	"さぶん"	"Diff"
"可変長"	"かへんちょう"	"Variable Length"
"プロトコル"	"プロトコル"	"Protocol"
"ラッパー"	"ラッパー"	"Wrapper"
"～への移行"	"～へのいこう"	"Fallback to ~"
"動的"	"どうてき"	"Dynamic"
"起動"	"きどう"	"Startup/Launch"
"起動時"	"きどうじ"	"Startup/Launch Time"
"不正"	"ふせい"	"Invalid (Argument etc)"
"抽象化レイヤー"	"ちゅうしょうかレイヤー"	"Abstract Layer"
"エンコード"	"エンコード"	"Encode"
"エンコーディング"	"エンコーディング"	"Encoding"
"接続"	"せつぞく"	"Connection"
"バージョン"	"バージョン"	"Version"
"リリース"	"リリース"	"Release"
"修正"	"しゅうせい"	"Fix (Bug Fix etc)"
"バグ"	"バグ"	"Bug"
"構文"	"こうぶん"	"Syntax"
"タグ"	"タグ"	"Tag"
"開始タグ"	"かいしタグ"	"Opening/Starting tag"
"終了タグ"	"しゅうりょうタグ"	"Closing/Ending tag"
"短い形式のタグ"	"みじかいけいしきのタグ"	"Short tags"
"脱出"	"だっしゅつ"	"Escape"
"命令"	"めいれい"	"Command/Instruction"
"ステートメント"	"ステートメント"	"Statement"
"コロン"	"コロン"	"Colon"
"セミコロン"	"セミコロン"	"Semicolon"
"アンダースコア"	"アンダースコア"	"Underscore"
"コメント"	"コメント"	"Comment"
"型"	"かた、がた"	"Types"
"抽象データ型"	"ちゅうしょうデータがた"	"Abstract Data Type"
"型キャスト"	"かたキャスト、がたキャスト"	"Type Cast"
"型の相互変換"	"かたのそうごへんかん"	"Type Juggling"
"型変換"	"かたへんかん"	"Type Conversion"
"スカラー型"	"スカラーがた"	"Scalar Types"
"論理値"	"ろんりち"	"Boolean value"
"論理型"	"ろんりがた"	"Boolean type"
"整数"	"せいすう"	"Integer (This is a 数値型)"
"浮動小数点数"	"ふどうしょうすうてんすう"	"Floating Point Number"
"文字列"	"もじれつ"	"String (May also be 文字配列)"
"真偽"	"しんぎ"	"True or False"
"真"	"しん"	"True"
"偽"	"ぎ、にせ"	"False"
"複合型"	"ふくごうがた"	"Compound Types"
"配列"	"はいれつ"	"Array"
"オブジェクト"	"オブジェクト"	"Object"
"連想配列"	"れんそうはいれつ"	"Associative Array"
"連想リスト"	"れんそうリスト"	"Associative List"
"辞書"	"じしょ"	"Dictionary"
"ハッシュ"	"ハッシュ"	"Hash"
"キー/値の組"	"キー/あたいのくみ"	"Key/Value Pair"
"一次元配列"	"いちじげんはいれつ"	"One Dimensional Array"
"二次元配列"	"にじげんはいれつ"	"Two Dimensional Array"
"三次元配列"	"さんじげんはいれつ"	"Three Dimensional Array"
"特別な型"	"とくべつながた"	"Special Types"
"リソース"	"リソース"	"Resource"
"ヌル"	"ヌル"	"Null"
"擬似的な型"	"ぎじてきながた"	"Pseudo Types"
"コールバック"	"コールバック"	"Callback"
"媒体型"	"ばいたいがた"	"Media Type"
"マイム型"	"マイムがた"	"MIME Type"
"内容型"	"ないようがた"	"Content Type"
"変数"	"へんすう"	"Variable"
"定義済変数"	"ていぎずみへんすう"	"Predefined Variable"
"変数のスコープ"	"へんすうのスコープ"	"Variable Scope"
"可変変数"	"かへんへんすう"	"Variable Variables"
"静的変数"	"せいてきへんすう"	"Static Variable"
"外部変数"	"がいぶへんすう"	"External Variable"
"共用変数"	"きょうようへんすう"	"Shared Variable"
"環境変数"	"かんきょうへんすう"	"Environment Variable"
"局所変数"	"きょくしょへんすう"	"Local Variable"
"グローバル変数"	"グローバルへんすう"	"Global Variable"
"変数名"	"へんすうめい"	"Variable Name"
"定義済定数"	"ていぎずみていすう"	"Predefined Constant"
"定数"	"ていすう"	"Constant"
"定数名"	"ていすうめい"	"Constant Name"
"代入"	"だいにゅう"	"Assignment"
"割り当てる"	"わりあてる"	"To assign"
"定義"	"ていぎ"	"Definition"
"グローバルスコープ"	"グローバルスコープ"	"Global Scope"
"ローカルスコープ"	"ローカルスコープ"	"Local Scope"
"スーパーグローバル"	"スーパーグローバル"	"Super Global"
"式"	"しき"	"Expression"
"ホゲ"	"ホゲ"	"foobar"
"演算"	"えんざん"	"Operation"
"演算子"	"えんざんし"	"Operator"
"演算数"	"えんざんすう"	"Operand"
"演算子の優先順位"	"えんざんしのゆうせんじゅんい"	"Operator Order of Precedence"
"浮動小数点演算"	"ふどうしょうすうてんえんざん"	"Floating Point Operation"
"代数演算子"	"だいすうえんざんし"	"Algebraic Operator"
"否定 （負にする）"	"ひてい （ふにする）"	"Negation"
"加算"	"かさん"	"Addition (+ is the 加算演算子)"
"減算"	"げんざん"	"Subtraction (- is the 減算演算子)"
"乗算"	"じょうざん"	"Multiplication (* is the 乗算演算子)"
"除算"	"じょざん"	"Division (/ is the 除算演算子)"
"剰余"	"じょうよ"	"Remainder (% is the 剰余演算子)"
"マイナス"	"マイナス"	"Minus"
"足す"	"たす"	"To add"
"引く"	"ひく"	"To subtract"
"掛ける"	"かける"	"To multiply"
"割る"	"わる"	"To divide"
"余り"	"あまり"	"Remainder"
"モッド"	"モッド"	"Mod (モジュロ or モデューロ for Modulo)"
"単項マイナス演算子"	"たんこうマイナスえんざんし"	"Unary Minus Operator"
"単項プラス演算子"	"たんこうプラスえんざんし"	"Unary Plus Operator"
"被除数"	"ひじょすう"	"Dividend"
"単項"	"たんこう"	"Unary"
"符号"	"ふごう"	"Sign/Mark/Symbol"
"代入演算子"	"だいにゅうえんざんし"	"Assignment Operator"
"代入"	"だいにゅう"	"Assignment"
"間接参照"	"かんせつさんしょう"	"Indirect reference"
"参照"	"さんしょう"	"Reference"
"参照先"	"さんしょうさき"	"Referent"
"メモリアドレス"	"メモリアドレス"	"Memory address"
"ポインタ"	"ポインタ"	"Pointer"
"スコープ定義演算子"	"スコープていぎえんざんし"	"Scope Resolution Operator"
"ビット演算子"	"ビットえんざんし"	"Bitwise Operator"
"ビット積"	"ビットせき"	"And (&, literally Bit Product)"
"ビット和"	"ビットなぎ"	"Or (|, literally Bit Sum)"
"排他的論理和"	"はいたてきろんりわ"	"XOR (^)"
"否定"	"ひてい"	"Negation (~)"
"左シフト"	"ひだりシフト"	"Left Shift (<<)"
"右シフト"	"みぎシフト"	"Right Shift (>>)"
"比較演算子"	"ひかくえんざんし"	"Relational/Comparison Operator"
"同等"	"どうとう"	"Equal (==, also 等しい)"
"同一"	"どういつ"	"Identical (===)"
"等しくない"	"ひとしくない"	"Not Equal (<> or !=)"
"同一でない"	"どういつでない"	"Not Identical (!==)"
"大なり （より大きい）"	"だいなり"	"Greater than (>)"
"小なり （より小さい）"	"しょうなり"	"Less than (<)"
"以上 (より大きいか等しい)"	"いじょう"	"Greater than or equal to"
"以下 (より小さいか等しい)"	"いか、いげ"	"Less than or equal to"
"加算子"	"かさんし"	"Increment Operator (++)"
"減算子"	"げんざんし"	"Decrement Operator (--)"
"前置加算子"	"ぜんちかさんし"	"Pre-Increment Operator"
"後置加算子"	"こうちかさんし"	"Post-Increment Operator"
"前置減算子"	"ぜんちげんざんし"	"Pre-Decrement Operator"
"後置減算子"	"こうちげんざんし"	"Post-Decrement Operator"
"前置加算"	"ぜんちかさん"	"Pre-Increment"
"後置加算"	"こうちかさん"	"Post-Increment"
"前置減算"	"ぜんちげんざん"	"Pre-Decrement"
"後置減算"	"こうちげんざん"	"Post-Decrement"
"論理演算子"	"ろんりえんざんし"	"Logical Operator"
"論理積"	"ろんりせき"	"And (&& or and, literally Logical Product)"
"論理和"	"ろんりわ"	"Or (|| or or, literally Logical Sum)"
"排他的論理和"	"はいたてきろんりわ"	"XOR"
"否定"	"ひてい"	"Not (!)"
"文字列演算子"	"もじれつえんざんし"	"String Operator"
"結合演算子"	"けつごうえんざんし"	"Concatenation Operator"
"結合代入演算子"	"けつごうだいにゅうえんざんし"	"Concatenating Assignment Operator"
"配列演算子"	"はいれつえんざんし"	"Array Operator"
"結合"	"けつごう"	"Union"
"同等"	"どうとう"	"Equal (==, also 等しい)"
"同一"	"どういつ"	"Identical (===)"
"等しくない"	"ひとしくない"	"Not Equal (<> or !=)"
"同一でない"	"どういつでない"	"Not Identical (!==)"
"制御構造"	"せいぎょこうぞう"	"Control Structure"
"制御式"	"せいぎょしき"	"Control Expression"
"実行文"	"じっこうぶん"	"Executable Statement"
"条件文"	"じょうけんぶん"	"Conditional Statement"
"条件式"	"じょうけんしき"	"Conditional Expression"
"無条件"	"むじょうけん"	"Unconditional"
"真文"	"しんぶん、まぶん"	"True Statement"
"真式文"	"しんしきぶん"	"True Expression Statement"
"偽文"	"にせぶん"	"False Statement"
"偽式文"	"にせしきぶん"	"False Expression Statement"
"イフ文"	"イフぶん"	"If Statement"
"エルス文"	"エルスぶん"	"Else Statement"
"イフエルス文"	"イフエルスぶん"	"If Else Statement"
"三項演算子"	"さんこうえんざんし"	"Ternary Operator"
"スイッチ文"	"スイッチぶん"	"Switch Statement"
"ケース文"	"ケースぶん"	"Case Statement"
"ループ"	"ループ"	"Loop"
"カウント制御ループ"	"カウントせいぎょループ"	"Count Controlled Loop"
"フォー文"	"フォーぶん"	"For Statement (For Loop)"
"フォーイーチ文"	"フォーイーチぶん"	"For Each Statement (For Each Loop)"
"条件制御ループ"	"じょうけんせいぎょループ"	"Condition Controlled Loop"
"ワイル文"	"ワイルぶん"	"While Statement (While Loop)"
"ドゥ・フォワイル文"	"ドゥ・フォワイルぶん"	"Do While Statement (Do While Loop)"
"コントロールブレイク"	"コントロールブレイク"	"Control Break"
"コンティニュー文"	"コンティニューぶん"	"Continue Statement"
"ブレイク文"	"ブレイクぶん"	"Break Statement"
"コレクション制御ループ"	"コレクションせいぎょループ"	"Collection Controlled Loop"
"イテレータ"	"イテレータ"	"Iterator"
"繰り返し"	"くりかえし"	"Iteration"
"無限ループ"	"むげんループ"	"Infinite Loop"
"ループからの早期脱出"	"ループからのそうきだっしゅつ"	"Early Exit (Escape) from Loop"
"ゴートゥ文"	"ゴートゥぶん"	"Go To Statement"
"ラベル"	"ラベル"	"Label"
"関数"	"かんすう"	"Function (You may see サブルーチン in some languages)"
"再帰関数"	"さいきかんすう"	"Recursive Function"
"無名関数"	"むめいかんすう"	"Anonymous Function/Closure/Lambda"
"コールバック"	"コールバック"	"Callback"
"可変関数"	"かへんかんすう"	"Variable Function"
"内部関数"	"ないぶかんすう"	"Internal Function"
"末尾再帰"	"まつびさいき"	"Tail Recursion"
"プロシージャ"	"プロシージャ"	"Procedure"
"関数名"	"かんすうめい"	"Function Name"
"ユーザー定義関数"	"ユーザーていぎかんすう"	"User Defined Function"
"定義済み関数"	"ていぎずみかんすう"	"Predefined Function"
"スコープ"	"スコープ"	"Scope (May also be 範囲)"
"プロトタイプ"	"プロトタイプ"	"Prototype"
"プロトタイプ宣言"	"プロトタイプせんげん"	"Prototype Declaration"
"関数プロトタイプ"	"かんすうプロトタイプ"	"Function Prototype"
"関数実行時"	"かんすうじっこうじ"	"Function Execution Time"
"引数"	"ひきすう"	"Argument/Parameter"
"オプション引数"	"オプションひきすう"	"Optional Argument/Parameter"
"デフォルト引数"	"デフォルトひきすう"	"Default Argument/Parameter"
"名前付き引数"	"なまえつきひきすう"	"Named Argument/Parameter"
"位置指定引数"	"いちしていひきすう"	"Positional Argument/Parameter"
"可変長引数"	"かへんちょうひきすう"	"Variable Length Arguments"
"可変長引数の関数"	"かへんちょうひきすうのかんそう"	"Variable Length Arguments Function"
"リターン文"	"リターンぶん"	"Return Statement"
"返却値"	"へんきゃくち"	"Return Value (Also 返り値 or 戻り値)"
"返す"	"かえす"	"To return"
"関数呼び出し"	"かんすうよびだし"	"Function Call"
"呼び出し"	"よびだし"	"A Call (to a function etc)"
"呼び出す"	"よびだす"	"To Call (a function etc)"
"渡す"	"わたす"	"To Pass (an argument etc)"
"参照渡し"	"さんしょうわたし"	"Pass By Reference"
"値渡し"	"ねわたし"	"Pass By Value"
"クラス"	"クラス"	"Class"
"クラスの定義"	"クラスのていぎ"	"Class Definition"
"親クラス"	"おやクラス"	"Parent Class"
"子クラス"	"こクラス"	"Child Class"
"クラス継承"	"クラスけいしょう"	"Class Inheritance"
"インターフェイス"	"インターフェイス"	"Interface"
"オブジェクト"	"オブジェクト"	"Object"
"クラス定数"	"クラスていすう"	"Class Constant"
"メンバー関数"	"メンバーかんすう"	"Member Function"
"メンバー変数"	"メンバーへんすう"	"Member Variable"
"アクセス権"	"アクセスけん"	"Visibility (Literally, Access Rights)"
"スコープ定義演算子"	"スコープていぎえんさんし"	"Scope Resolution Operator (::)"
"継承"	"けいしょう"	"Inheritance"
"オブジェクトの継承"	"オブジェクトのけいしょう"	"Object Inheritance"
"クラスの抽象化"	"クラスのちゅうしょうか"	"Class Abstraction"
"トレイ"	"トレイ"	"Trait"
"インスタンス化"	"インスタンスか"	"Instantiation"
"初期化"	"しょきか"	"Initialisation"
"タイプヒンティング"	"タイプヒンティング"	"Type Hinting"
"遅延静的束縛"	"ちえんせいてきそくばく"	"Late Static Bindings"
"オブジェクトのシリアライズ"	"オブジェクトのシリアライズ"	"Object Serialisation"
"オブジェクトの反復処理"	"オブジェクトのはんぷくしょり"	"Object Iteration"
"オブジェクトのクローン作成"	"オブジェクトのクローンさくせい"	"Object Cloning"
"オブジェクトの比較"	"オブジェクトのひかく"	"Object Comparison"
"マジックメソッド"	"マジックメソッド"	"Magic Method"
"オーバーロード"	"オーバーロード"	"Overloading"
"オーバーライド"	"オーバーライド"	"Override"
"コンストラクタ"	"コンストラクタ"	"Constructor"
"デストラクタ"	"デストラクタ"	"Destructor"
"クラスのオートローディング"	"クラスのオートローディング"	"Class Auto-loading"
"クラスの拡張"	"クラスのかくちょう"	"Class Extension"
"名前空間"	"なまえくうかん"	"Namespace"
"名前の衝突"	"なまえのしょうとつ"	"Name Collision"
"名前空間の定義"	"なまえくうかんのていき"	"Namespace definition"
"サブ名前空間"	"サブなまえくうかん"	"Sub-Namespace"
"サブ名前空間の宣言"	"サブなまえくうかんのせんげん"	"Sub-Namespace Declaration"
"グローバル空間"	"グローバルくうかん"	"Global Space"
"名前解決"	"なまえかいけつ"	"Namespace Resolution"
"名前解決のルール"	"なまえかいけつのルール"	"Namespace Resolution Rules"
"エラー"	"エラー"	"Error"
"エラー報告"	"エラーほうこく"	"Error Report"
"例外"	"れいがい"	"Exception"
"定義済みの例外"	"ていぎずみのれいがい"	"Predefined Exception"
"トライ・ブロック"	"トライ・ブロック"	"Try Block"
"トライ文"	"トライぶん"	"Try Statement"
"キャッチ・ブロック"	"キャッチ・ブロック"	"Catch Block"
"キャッチ文"	"キャッチぶん"	"Catch Statement"
"ファイナリー・ブロック"	"ファイナリー・ブロック"	"Finally Block"
"ファイナリー文"	"ファイナリーぶん"	"Finally Statement"
"投げる"	"なげる"	"To Throw (an exception)"
"捕捉する"	"ほそするく"	"To Catch (an exception)"
"クッキー"	"クッキー"	"Cookie"
"セッション"	"セッション"	"Session"
"セッション処理"	"セッションしょり"	"Session Management"
"カスタムセッションハンドラ"	"カスタムセッションハンドラ"	"Custom Session Handler"
"クライアント"	"クライアント"	"Client"
"サーバー"	"サーバー"	"Server"
"格納"	"かくのう"	"Storage/Putting into Computer Memory"
"メモリ"	"メモリ"	"Memory (May also be メモリー)"
"獲得する"	"かくとくする"	"To Acquire"
"確保する"	"かくほする"	"To Allocate"
"メモリリーク"	"メモリリーク"	"Memory Leak (May also be 漏れ)"
"開放する"	"かいほうする"	"To Release"
"メモリ確保"	"メモリかくほ"	"Memory Allocation"
"動的メモリ確保"	"どうてきメモリかくほ"	"Dynamic Memory Allocation"
"メモリ領域"	"メモリりょういき"	"Memory Space"
"動的メモリ管理"	"どうてきメモリかんり"	"Dynamic Memory Management"
"外部メモリ"	"がいぶメモリ"	"External Memory"
"内部メモリ"	"ないぶメモリ"	"Internal Memory"
"格納"	"かくのう"	"Storage/Putting into Computer Memory"
